company,company_score,primary_title,secondary_title,experience_level,location,min_salary,max_salary,avg_salary,source
Snowflake,3.7,Software Engineer,n/a,Intermediate,"Bellevue, WA",113000,150000,131500,Employer
Staffed4U,4.2,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",110000,140000,125000,Employer
Honeycomb.io,4.2,Software Engineer,SRE,Intermediate,Unknown,141000,179000,160000,Employer
Topaz Labs,3.8,DevOps Engineer,n/a,Intermediate,"Dallas, TX",77000,136000,106500,Glassdoor
Brown and Caldwell,4.3,Software Engineer,n/a,Intermediate,"Atlanta, GA",79000,126000,102500,Glassdoor
Vertafore,3.7,Software Engineer,n/a,Intermediate,"Melville, NY",87000,119000,103000,Glassdoor
"Aerodyne Industries, LLC",3.1,Software Engineer,n/a,Intermediate,"Kennedy Sp Ct, FL",72000,94000,83000,Glassdoor
KAIROS Inc,3.5,Software Engineer,n/a,Intermediate,"Dahlgren, VA",6000,7000,6500,Employer
Topaz Labs,3.7,Software Engineer,n/a,Senior,"Dallas, TX",68000,106000,87000,Glassdoor
S3,3.8,Software Engineer,n/a,Intermediate,"Stennis Space Center, MS",56000,88000,72000,Glassdoor
"J. Paul Getty Trust, The",4.1,Software Engineer,n/a,Senior,"Los Angeles, CA",72000,113000,92500,Glassdoor
Topaz Labs,3.4,Software Engineer,n/a,Intermediate,"Dallas, TX",90000,119000,104500,Glassdoor
Rover.com,3.2,Software Engineer,n/a,Senior,"Seattle, WA",101000,135000,118000,Glassdoor
University of Oregon,3.8,Software Engineer,n/a,Intermediate,"Eugene, OR",155000,180000,167500,Employer
dï¿½ï¿½ï¿½ï¿½ï¿½ï¿½TER,4,Software Engineer,n/a,Intermediate,Unknown,85000,114000,99500,Glassdoor
AHU Technologies,4.6,Software Engineer,n/a,Intermediate,"Newark, DE",130000,160000,145000,Employer
ALSTOM,3.4,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",160000,250000,205000,Employer
ISPA Technology,3,System Engineer,n/a,Entry,"Washington, DC",120000,150000,135000,Employer
"Universal Health Services, Inc. - Corporate Office",3.4,Data Engineer,n/a,Entry,"King of Prussia, PA",96000,146000,121000,Glassdoor
Relias,3.8,Software Engineer,n/a,Entry,"Morrisville, NC",107000,144000,125500,Glassdoor
Tickrs Clearing,3.1,Software Engineer,n/a,Intermediate,"Irvine, CA",138000,189000,163500,Glassdoor
CTC Group,4.8,Software Engineer,n/a,Intermediate,"Fort Meade, MD",78000,118000,98000,Glassdoor
GoTab Inc,3.5,DevOps Engineer,n/a,Entry,"Arlington, VA",113000,139000,126000,Glassdoor
CSX,3.8,Software Engineer,n/a,Intermediate,"Jacksonville, FL",70000,109000,89500,Glassdoor
Synergy ECP,4.4,Software Engineer,n/a,Entry,"Fort Meade, MD",73000,117000,95000,Glassdoor
M&T Bank,5,Software Engineer,n/a,Senior,"Wilmington, DE",62000,107000,84500,Glassdoor
Cardlytics,5,Software Engineer,n/a,Senior,"Menlo Park, CA",124000,169000,146500,Glassdoor
"Stefanini, Inc",3.8,Cloud Engineer,AWS,Intermediate,"Richmond, VA",96000,117000,106500,Employer
Innovative Systems,3.8,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",84000,140000,112000,Glassdoor
Parabola,3.8,Software Engineer,Fullstack,Intermediate,Unknown,66000,94000,80000,Glassdoor
Vibrint,3.5,Software Engineer,Python,Entry,Unknown,70000,120000,95000,Employer
Millennium Management,4.2,Software Engineer,n/a,Intermediate,Unknown,78000,126000,102000,Employer
Sagitec,3.9,Software Engineer,n/a,Intermediate,"Saint Paul, MN",165000,209000,187000,Employer
Careerus Soultions,4,DevOps Engineer,n/a,Intermediate,Unknown,90000,125000,107500,Glassdoor
Innovien Solutions,3.3,Software Engineer,n/a,Senior,"Atlanta, GA",116000,150000,133000,Employer
Ocean Power Technologies Inc,3.8,Software Engineer,n/a,Intermediate,Unknown,107000,192000,149500,Employer
Riverside Research Institute,4.8,Software Engineer,n/a,Intermediate,"Fairborn, OH",79000,120000,99500,Glassdoor
Staffed4U,5,Software Engineer,Java,Intermediate,"Annapolis Junction, MD",94000,153000,123500,Employer
Uber Freight,5,Software Engineer,n/a,Intermediate,"Chicago, IL",84000,129000,106500,Glassdoor
Diverse Career Solutions,3.7,Software Engineer,n/a,Intermediate,Unknown,48000,81000,64500,Glassdoor
Snowflake,4.1,Software Engineer,n/a,Intermediate,"Bellevue, WA",82000,129000,105500,Glassdoor
Likewize,4,DevOps Engineer,n/a,Entry,"Dallas, TX",61000,104000,82500,Glassdoor
MassMutual Ascend,4,Software Engineer,n/a,Senior,"Cincinnati, OH",182000,244000,213000,Employer
Washington DC government,4.7,Software Engineer,React,Intermediate,Remote,96000,116000,106000,Employer
AnaVation,3.7,Software Engineer,n/a,Intermediate,"Quantico, VA",68000,136000,102000,Employer
3R Info,3.9,Software Engineer,n/a,Intermediate,"Canton, MI",93000,132000,112500,Glassdoor
Strategic Mission Elements,3.5,Software Engineer,"JavaScript, TypeScript",Intermediate,"Chantilly, VA",77000,125000,101000,Glassdoor
"IPSecure, Inc.",3.9,Software Engineer,n/a,Senior,"Patrick AFB, FL",52000,200000,126000,Employer
RELX,3.2,Software Engineer,n/a,Intermediate,Unknown,81000,118000,99500,Glassdoor
Solventum,3.6,Software Engineer,Frontend,Intermediate,"Maplewood, MN",128000,192000,160000,Employer
Focus Technology Solutions Inc,3,Cloud Engineer,n/a,Intermediate,"Boston, MA",150000,225000,187500,Employer
"Adams, Inc.",3.2,Software Engineer,n/a,Intermediate,Unknown,85000,120000,102500,Employer
CPS Insurance Services,3.4,Software Engineer,n/a,Entry,"Phoenix, AZ",192000,245000,218500,Employer
Cephas,3.1,Software Engineer,n/a,Intermediate,"Melbourne, FL",114000,182000,148000,Employer
Chubb,3.4,Software Engineer,Java,Intermediate,"Whitehouse Station, NJ",102000,134000,118000,Glassdoor
Uber Freight,3.6,Software Engineer,Mobile,Senior,"San Francisco, CA",101000,160000,130500,Employer
Consumers Energy,4.8,Software Engineer,n/a,Intermediate,"Jackson, MI",90000,124000,107000,Glassdoor
U.S. Bank National Association,3.4,Software Engineer,n/a,Senior,"Hopkins, MN",88000,128000,108000,Glassdoor
MedImpact Healthcare Systems,3.5,Software Engineer,n/a,Senior,"San Diego, CA",83000,131000,107000,Glassdoor
IMC Financial Markets,3.1,Software Engineer,n/a,Entry,"Chicago, IL",70000,90000,80000,Employer
Truveta,4,Software Engineer,n/a,Intermediate,"Seattle, WA",164000,182000,173000,Employer
"Signature Science, LLC",4.2,Software Engineer,n/a,Intermediate,"Egg Harbor Township, NJ",73000,92000,82500,Employer
JYG Innovations,4.1,Software Engineer,n/a,Intermediate,"Frederick, MD",108000,200000,154000,Employer
Vensit,3.5,Software Engineer,n/a,Intermediate,"Sayreville, NJ",123000,160000,141500,Glassdoor
Independent Software,3.9,Software Engineer,n/a,Intermediate,Unknown,112000,141000,126500,Glassdoor
"Visionist, Inc.",3.5,Software Engineer,n/a,Entry,"Fort Meade, MD",101000,160000,130500,Employer
NCR,3.1,Software Engineer,n/a,Intermediate,Unknown,69000,143000,106000,Employer
Clearwater Analytics,3.6,Software Engineer,n/a,Senior,"Seattle, WA",120000,140000,130000,Employer
"Technical Intelligence Solutions, LLC",3,Software Engineer,n/a,Intermediate,"Crystal City, VA",68000,120000,94000,Glassdoor
CVS Health,3.8,Software Engineer,n/a,Entry,"Woonsocket, RI",104000,136000,120000,Glassdoor
"Delta Defense, LLC",3.9,Data Engineer,n/a,Entry,"West Bend, WI",82000,115000,98500,Glassdoor
Koalafi,3.2,Software Engineer,Backend,Intermediate,"Richmond, VA",161000,239000,200000,Employer
INTEL,4.1,Research Engineer,n/a,Intermediate,Unknown,107000,150000,128500,Employer
No.Inc,5,Software Engineer,n/a,Intermediate,"Baltimore, MD",91000,122000,106500,Glassdoor
f5,3.5,Software Engineer,n/a,Senior,"Seattle, WA",103000,144000,123500,Glassdoor
Arcadia Science,3.3,Software Engineer,n/a,Intermediate,"Berkeley, CA",80000,100000,90000,Employer
Artint Knowledge Tech,3.5,Firmware Engineer,n/a,Entry,Remote,100000,128000,114000,Employer
Castellum Inc,4.1,Software Engineer,n/a,Intermediate,"Patuxent River, MD",90000,180000,135000,Employer
Instacart,3.7,Software Engineer,n/a,Senior,Remote,110000,130000,120000,Employer
WALGREENS,4.4,Software Engineer,n/a,Intermediate,"Deerfield, IL",76000,121000,98500,Glassdoor
Duquesne Light,3.6,Software Engineer,n/a,Senior,"Pittsburgh, PA",88000,111000,99500,Employer
Super Micro Computer,3,Software Engineer,n/a,Intermediate,"San Jose, CA",73000,116000,94500,Glassdoor
UCare,4.4,Software Engineer,Azure,Senior,"Minneapolis, MN",182000,273000,227500,Employer
CyberCore Technologies,2.6,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",85000,113000,99000,Glassdoor
CoinFlip,3.5,DevOps Engineer,AWS,Intermediate,"Chicago, IL",65000,95000,80000,Employer
BI Labs,4.1,Software Engineer,n/a,Intermediate,"Plainsboro, NJ",109000,168000,138500,Employer
Sahbi Systems,4.1,Software Engineer,n/a,Intermediate,Unknown,80000,99000,89500,Glassdoor
Cultura Technologies Inc,4.4,Software Engineer,n/a,Senior,Remote,104000,153000,128500,Glassdoor
Excelacom,4,DevOps Engineer,n/a,Intermediate,"Denver, CO",78000,129000,103500,Glassdoor
Cityblock Health,4.1,Software Engineer,n/a,Senior,Unknown,82000,118000,100000,Glassdoor
Rocket Software,4.3,ML/AI Engineer,n/a,Intermediate,Unknown,138000,294000,216000,Employer
Huntington Ingalls Industries Inc.,3.3,Software Engineer,n/a,Intermediate,"Columbia, MD",136000,187000,161500,Glassdoor
Intuitive Machines LLC,3.8,Software Engineer,n/a,Intermediate,"Houston, TX",295000,440000,367500,Employer
Equifax,4.4,Software Engineer,n/a,Intermediate,"Alpharetta, GA",95000,146000,120500,Glassdoor
Super Micro Computer,4,Software Engineer,n/a,Intermediate,"San Jose, CA",117000,161000,139000,Employer
Blockit Now Inc,3.8,Software Engineer,n/a,Intermediate,"McKinney, TX",175000,250000,212500,Employer
TENICA and Associates LLC,4.1,System Engineer,n/a,Intermediate,"Las Cruces, NM",55000,140000,97500,Employer
Arch Capital Group Ltd.,3.9,Software Engineer,n/a,Intermediate,"Greensboro, NC",126000,234000,180000,Employer
Lynker Corporation,3.9,Software Engineer,n/a,Intermediate,"Stennis Space Center, MS",78000,129000,103500,Employer
YouTube,3.2,Software Engineer,Fullstack,Senior,"New York, NY",75000,102000,88500,Glassdoor
Perforce Software,4.2,Software Engineer,n/a,Senior,Remote,115000,150000,132500,Employer
World Vision USA,3.8,Software Engineer,n/a,Senior,Unknown,115000,160000,137500,Employer
Featurespace,5,Software Engineer,n/a,Intermediate,"Atlanta, GA",82000,92000,87000,Employer
