company,company_score,primary_title,secondary_title,experience_level,location,min_salary,max_salary,avg_salary,source
"Messenger, LLC",4.4,Software Engineer,n/a,Intermediate,"Lansing, MI",116000,166000,141000,Glassdoor
Nelnet,3.5,Software Engineer,n/a,Intermediate,"Auburn, IN",59000,107000,83000,Glassdoor
Slate Magazine,4.8,Software Engineer,n/a,Intermediate,"Lincoln, NE",104000,163000,133500,Glassdoor
Adobe,3.5,Software Engineer,n/a,Intermediate,"Washington, DC",68000,80000,74000,Employer
Airgas,4.1,Software Engineer,n/a,Intermediate,"Lehi, UT",83000,107000,95000,Glassdoor
Umbra,3.9,Firmware Engineer,n/a,Intermediate,"Cheshire, CT",109000,209000,159000,Employer
Uber,3.8,Software Engineer,n/a,Senior,"Santa Barbara, CA",97000,197000,147000,Employer
Collaborative Robotics,3.7,Software Engineer,n/a,Intermediate,"San Francisco, CA",57000,96000,76500,Glassdoor
Werfen,3.3,Software Engineer,n/a,Intermediate,"Santa Clara, CA",98000,145000,121500,Glassdoor
Snapchat,4.3,Software Engineer,n/a,Intermediate,"Bedford, MA",66000,90000,78000,Glassdoor
"Canon Medical Research USA, Inc",3.7,Graphics Engineer,n/a,Entry,"New York, NY",114400,124800,119600,Employer
Raytheon,4,Software Engineer,n/a,Intermediate,"Cambridge, MA",79000,168000,123500,Employer
Snapchat,3.8,Software Engineer,n/a,Entry,"Annapolis Junction, MD",102000,174000,138000,Employer
Hudson River Trading,3.9,Software Engineer,n/a,Senior,"Los Angeles, CA",73000,108000,90500,Glassdoor
Whisker,4.3,Software Engineer,n/a,Intermediate,"New York, NY",110000,190000,150000,Employer
Mastercard,3.1,Software Engineer,n/a,Senior,"Auburn Hills, MI",94000,137000,115500,Glassdoor
Savannah River Mission Completion,3.6,Software Engineer,n/a,Intermediate,"O Fallon, MO",89000,113000,101000,Glassdoor
Mill-Max,3.8,Software Engineer,n/a,Entry,"Aiken, SC",80000,100000,90000,Employer
Disney Entertainment & ESPN Technology,3.8,Software Engineer,n/a,Entry,"Oyster Bay, NY",128000,179000,153500,Glassdoor
Coca-Cola,4.2,Software Engineer,n/a,Senior,"Seattle, WA",74000,125000,99500,Glassdoor
Kaleido,4.1,Software Engineer,n/a,Senior,"Atlanta, GA",90000,187000,138500,Employer
M&T Bank,3.7,Software Engineer,Fullstack,Intermediate,"Raleigh, NC",143000,256000,199500,Employer
Lufburrow & Co,3.4,Software Engineer,"API, Java, Spring",Intermediate,"Buffalo, NY",114000,145000,129500,Glassdoor
Boost Tech,4.1,Software Engineer,n/a,Intermediate,"Havre de Grace, MD",101000,155000,128000,Glassdoor
BAE Systems,3.9,Software Engineer,n/a,Senior,Remote,84000,128000,106000,Glassdoor
Numerica Corporation,4.7,Software Engineer,Mobile,Intermediate,Unknown,71000,104000,87500,Glassdoor
Veracity Engineering,4.6,Software Engineer,n/a,Intermediate,"Fort Collins, CO",99000,137000,118000,Glassdoor
M&T Bank,4.1,Software Engineer,Backend,Intermediate,"Palo Alto, CA",141000,211000,176000,Employer
CVS Health,4.2,Software Engineer,n/a,Intermediate,"Wilmington, DE",76000,128000,102000,Employer
Microsoft,4.1,Software Engineer,"Azure, Java",Entry,"Woonsocket, RI",93000,129000,111000,Glassdoor
Northwest Talent Solutions LLC,3.6,Software Engineer,n/a,Intermediate,Unknown,93000,131000,112000,Glassdoor
Honda Research Institute USA,4.2,Software Engineer,n/a,Senior,"Boston, MA",86000,145000,115500,Glassdoor
Activision,4,Software Engineer,Mobile,Intermediate,"San Jose, CA",67000,112000,89500,Glassdoor
thatgamecompany,3.6,Software Engineer,n/a,Senior,"Santa Monica, CA",116000,150000,133000,Employer
BNY Mellon,4,DevOps Engineer,Build/Release,Intermediate,Unknown,85000,115000,100000,Employer
Recruiting From Scratch,3.6,Software Engineer,Backend,Entry,"Lake Mary, FL",90000,115000,102500,Glassdoor
"Akina, Inc.",3.9,Software Engineer,n/a,Intermediate,"San Francisco, CA",92000,156000,124000,Employer
Vonnen,4.8,Software Engineer,"Kubernetes, Python",Entry,"Annapolis Junction, MD",150000,200000,175000,Employer
Capgemini,4.5,Software Engineer,n/a,Intermediate,"Santa Clara, CA",95000,147000,121000,Glassdoor
"Stefanini, Inc",3.6,Software Engineer,Redis,Intermediate,"Irving, TX",102000,148000,125000,Glassdoor
Infosys,4.7,Software Engineer,n/a,Intermediate,"Dearborn, MI",83200,124800,104000,Employer
"Link, LLC",4.9,DevOps Engineer,Build/Release,Intermediate,"Chicago, IL",86000,109000,97500,Glassdoor
Autodesk,3.9,Software Engineer,Golang,Intermediate,"Annapolis Junction, MD",87000,125000,106000,Glassdoor
BCT LLC,3.9,Software Engineer,n/a,Intermediate,Unknown,156000,166400,161200,Employer
JPMorgan Chase & Co,4.8,Software Engineer,n/a,Intermediate,Unknown,142000,183000,162500,Employer
WR Systems,4.2,Software Engineer,n/a,Intermediate,"Jersey City, NJ",77000,125000,101000,Glassdoor
Acuity Brands,3.5,Software Engineer,n/a,Intermediate,"Dahlgren, VA",162000,244000,203000,Employer
Cisco Systems,4.1,Software Engineer,n/a,Intermediate,"Conyers, GA",85000,104000,94500,Glassdoor
WALGREENS,3.3,QA/Test Engineer,n/a,Intermediate,"San Jose, CA",140000,145000,142500,Employer
"Vivint, Inc.",3.8,Software Engineer,n/a,Senior,"Deerfield, IL",95000,130000,112500,Glassdoor
Caelum Research Corporation,4.1,Software Engineer,n/a,Senior,"Lehi, UT",90000,150000,120000,Employer
Oracle,4.5,Software Engineer,n/a,Intermediate,"Carlisle, PA",140000,150000,145000,Employer
Fidelity Investments,3.8,Software Engineer,n/a,Intermediate,"Redwood City, CA",183000,297000,240000,Employer
Colorado State University,4.5,Cloud Engineer,n/a,Intermediate,"Westlake, TX",120000,140000,130000,Employer
Bayer,2.3,Software Engineer,n/a,Entry,"Fort Collins, CO",97000,129000,113000,Glassdoor
USAA,3.9,Software Engineer,n/a,Intermediate,"Indianola, PA",50000,90000,70000,Employer
Accenture Federal Services,3.1,Software Engineer,"Javascript, React",Senior,"San Antonio, TX",74000,122000,98000,Employer
Gundersen Health System,5,Software Engineer,n/a,Intermediate,"Lorton, VA",85000,150000,117500,Employer
"JRC Integrated Systems, LLC",3.9,Software Engineer,n/a,Intermediate,"Onalaska, WI",82000,114000,98000,Glassdoor
XL Softek,3.9,Software Engineer,n/a,Intermediate,"Washington, DC",107000,150000,128500,Employer
kasmo cloud solutions,4,Software Engineer,n/a,Intermediate,"Suwanee, GA",215000,220000,217500,Employer
"ICR, Inc.",4.2,Software Engineer,n/a,Intermediate,"Carol Stream, IL",90000,180000,135000,Employer
Workday,4,Software Engineer,n/a,Intermediate,"Aurora, CO",130000,160000,145000,Employer
360care,3,Software Engineer,n/a,Senior,"Atlanta, GA",75000,126000,100500,Glassdoor
Amex,3.5,Software Engineer,n/a,Intermediate,"Louisville, KY",79000,119000,99000,Glassdoor
DKW Communications,3.5,Software Engineer,Java,Senior,"Sunrise, FL",125000,150000,137500,Employer
"SICK, Inc.",4.1,Software Engineer,n/a,Senior,"Point Mugu NAWC, CA",77000,102000,89500,Glassdoor
Antithesis,3.2,Software Engineer,n/a,Intermediate,"Minneapolis, MN",102000,138000,120000,Glassdoor
Rekuten Global,3.9,Software Engineer,"Rails, Ruby",Entry,Remote,115000,155000,135000,Glassdoor
Tencent,4,Software Engineer,n/a,Senior,"Vienna, VA",84000,132000,108000,Glassdoor
Zoox,4.1,Security Engineer,n/a,Entry,"Palo Alto, CA",80000,108000,94000,Glassdoor
CyberCore Technologies,4.3,Software Engineer,n/a,Entry,Unknown,148000,230000,189000,Employer
Synergy ECP,4.1,Software Engineer,n/a,Intermediate,"Foster City, CA",81000,101000,91000,Glassdoor
Innovative Defense Technologies (IDT),3.9,Software Engineer,n/a,Senior,"Annapolis Junction, MD",65000,112000,88500,Glassdoor
VETERANS ENGINEERING INCORPORATED,4.1,Software Engineer,"Backend, Python",Intermediate,"Annapolis Junction, MD",88000,117000,102500,Glassdoor
Solvere Technical Group,3.6,Software Engineer,n/a,Intermediate,"Fall River, MA",10000,20000,15000,Employer
"IRALOGIX,Inc",3.9,Cloud Engineer,n/a,Intermediate,Unknown,111000,153000,132000,Glassdoor
Nava,3.8,Software Engineer,n/a,Intermediate,"Indian Head, MD",91000,126000,108500,Glassdoor
f5,3.6,Software Engineer,n/a,Senior,"Pittsburgh, PA",125000,140000,132500,Employer
BAE Systems,4.5,Software Engineer,n/a,Senior,Remote,66000,116000,91000,Glassdoor
Synergy ECP,3.4,Software Engineer,n/a,Senior,"San Jose, CA",108000,146000,127000,Glassdoor
GE HEALTHCARE,4,Software Engineer,n/a,Entry,"Lexington Park, MD",90000,130000,110000,Employer
TC Energy,2.4,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",80000,90000,85000,Employer
Principal Financial Group,4.3,Software Engineer,n/a,Senior,"Milwaukee, WI",86000,119000,102500,Glassdoor
Schlumberger,3.4,Software Engineer,n/a,Intermediate,"Houston, TX",120000,250000,185000,Employer
IXL Learning,3.8,Software Engineer,n/a,Senior,Unknown,54000,83000,68500,Employer
JBT Corporation,4.6,Software Engineer,n/a,Intermediate,"Houston, TX",55000,90000,72500,Employer
FLASH Technology Group,4.2,Software Engineer,n/a,Intermediate,"San Mateo, CA",84000,157000,120500,Employer
Innovative Defense Technologies (IDT),3.7,DevOps Engineer,n/a,Intermediate,"Chalfont, PA",96000,128000,112000,Glassdoor
Fairfax County Public Schools,4.2,Software Engineer,n/a,Entry,"Laurel, MD",106000,125000,115500,Employer
Scholarly,4.5,Software Engineer,n/a,Intermediate,Unknown,81000,123000,102000,Glassdoor
Innovative Defense Technologies (IDT),3,Software Engineer,n/a,Intermediate,"Wilton Woods, VA",92000,131000,111500,Glassdoor
Burst Inc.,2,Software Engineer,n/a,Intermediate,"Seattle, WA",115000,166000,140500,Glassdoor
USN Technical Associates,3.9,Security Engineer,n/a,Intermediate,"Fall River, MA",113000,161000,137000,Glassdoor
SNC,2.8,Software Engineer,n/a,Intermediate,"Lexington, MA",160000,385000,272500,Employer
Decision Six,4.1,Software Engineer,n/a,Intermediate,"Los Angeles, CA",62000,102000,82000,Glassdoor
Laiba Technologies,4.4,Software Engineer,n/a,Intermediate,"Southern Pines, NC",73000,110000,91500,Glassdoor
Teamups,4.4,DevOps Engineer,n/a,Intermediate,"Newtown Square, PA",200000,370000,285000,Employer
Delta Dental Ins.,4,Software Engineer,n/a,Intermediate,"Everett, WA",93000,147000,120000,Glassdoor
Valkyrie Enterprises,4.1,Software Engineer,n/a,Senior,"Seattle, WA",69000,107000,88000,Glassdoor
UiPath,3.7,Software Engineer,n/a,Intermediate,"Alpharetta, GA",50000,60000,55000,Employer
Atlas Copco Tools & Assembly Systems LLC,3.7,Software Engineer,n/a,Intermediate,"Huntsville, AL",70000,108000,89000,Glassdoor
ANB Sourcing LLC,3.8,Software Engineer,n/a,Senior,"Bellevue, WA",102000,134000,118000,Glassdoor
McIntire Solutions,4.5,Software Engineer,n/a,Intermediate,"Auburn Hills, MI",103000,133000,118000,Glassdoor
Literati,3.7,DevOps Engineer,n/a,Intermediate,"Chantilly, VA",84000,110000,97000,Glassdoor
"Rochester Software Associates, Inc.",4.1,Software Engineer,n/a,Intermediate,"Agoura Hills, CA",66000,94000,80000,Glassdoor
Plaid,3.7,Software Engineer,"Fullstack, React",Intermediate,Unknown,102000,149000,125500,Glassdoor
TigerGraph,3.9,Software Engineer,C#,Intermediate,Unknown,187000,197000,192000,Employer
"Garmin International, Inc.",3.7,Software Engineer,n/a,Intermediate,"New York, NY",70000,96000,83000,Glassdoor
Resilio Inc.,4.4,Software Engineer,n/a,Intermediate,"Redwood City, CA",100000,110000,105000,Employer
Candid,3.7,QA/Test Engineer,n/a,Entry,"Salem, OR",83000,116000,99500,Glassdoor
Amex,4.3,Software Engineer,n/a,Intermediate,Unknown,100000,250000,175000,Employer
Radiance Technologies,4.4,Software Engineer,n/a,Intermediate,Unknown,100000,115000,107500,Employer
Fabletics,3.6,Software Engineer,n/a,Intermediate,"Phoenix, AZ",64000,101000,82500,Glassdoor
Delta Dental Ins.,3.7,Software Engineer,R,Intermediate,"Stennis Space Center, MS",66000,68000,67000,Employer
Fractal Analytics,4.1,Software Engineer,n/a,Senior,Unknown,79000,117000,98000,Glassdoor
York Space Systems,4.2,Software Engineer,n/a,Intermediate,Unknown,118000,169000,143500,Glassdoor
Proteus Co.,3.5,Software Engineer,n/a,Intermediate,Unknown,56000,89000,72500,Glassdoor
Software Productivity Strategists,3.3,Software Engineer,Fullstack,Senior,"Greenwood Village, CO",130000,270000,200000,Employer
NeuroPace,4.2,Software Engineer,n/a,Intermediate,"Lincoln, NE",110000,157000,133500,Employer
OceanFrogs,2.5,Software Engineer,n/a,Intermediate,"Rockville, MD",93000,130000,111500,Glassdoor
"iconectiv, LLC.",3.5,Software Engineer,Fullstack,Intermediate,"Mountain View, CA",120000,140000,130000,Employer
The Aerospace Corporation,3.9,Software Engineer,Fullstack,Intermediate,"Duluth, GA",94000,160000,127000,Employer
Fetch Package,4.8,Software Engineer,Oracle,Intermediate,"Bridgewater, NJ",101000,144000,122500,Glassdoor
Zenith Services,4.7,Data Engineer,n/a,Intermediate,"Chantilly, VA",108000,156000,132000,Glassdoor
Matthews International Corporation,3.9,Software Engineer,Frontend,Senior,"Austin, TX",74000,100000,87000,Glassdoor
Oracle,2.9,Software Engineer,React,Intermediate,"Bentonville, AR",73000,100000,86500,Glassdoor
NVIDIA,4,Software Engineer,n/a,Intermediate,"Apopka, FL",112000,196000,154000,Employer
PingWind,4,Software Engineer,n/a,Intermediate,Unknown,98000,137000,117500,Glassdoor
Versaterm,3.5,Software Engineer,Fullstack,Senior,"Santa Clara, CA",80000,94000,87000,Employer
Apollo Technology Solutions LLC,4.3,Software Engineer,n/a,Intermediate,"Scott Air Force Base, IL",89000,130000,109500,Glassdoor
Navrit Creation,3.6,Software Engineer,n/a,Intermediate,"Lexington, SC",78000,131000,104500,Glassdoor
Amazon.com Services LLC,5,Software Engineer,React,Senior,"Charlotte, NC",65000,107000,86000,Glassdoor
Schneider Electric,3.6,Software Engineer,n/a,Intermediate,"Colony, AL",130000,300000,215000,Employer
Akira Technologies Inc.,3.7,Software Engineer,n/a,Intermediate,"Boston, MA",66000,98000,82000,Employer
CTC Group,4.2,Software Engineer,n/a,Intermediate,"Secaucus, NJ",153000,225000,189000,Employer
Space Coast Intelligent Solutions,3.9,Software Engineer,n/a,Intermediate,"Washington, DC",69000,103000,86000,Employer
Credo,3.9,Software Engineer,Python,Intermediate,"Fort Meade, MD",83000,114000,98500,Glassdoor
9th networks Inc,4.4,Software Engineer,n/a,Senior,"Melbourne, FL",107000,174000,140500,Employer
Walter P Moore,4.1,DevOps Engineer,Go,Intermediate,"Jersey City, NJ",175000,265000,220000,Employer
LinQuest Corporation,3.9,Software Engineer,n/a,Senior,Unknown,53000,107000,80000,Employer
CodeSignal,3.8,Software Engineer,Frontend,Intermediate,"Washington, DC",124800,166400,145600,Employer
Hewlett Packard,5,Software Engineer,n/a,Intermediate,"Beavercreek, OH",86000,128000,107000,Glassdoor
Dupli Envelope & Graphics,4.8,Software Engineer,n/a,Intermediate,"San Francisco, CA",165000,215000,190000,Employer
Coinbase,4.2,QA/Test Engineer,n/a,Intermediate,"Fort Collins, CO",165000,215000,190000,Employer
LSEG (London Stock Exchange Group),4,Software Engineer,n/a,Intermediate,"Syracuse, NY",102000,138000,120000,Glassdoor
Inabia Software & Consulting Inc.,3.8,Software Engineer,n/a,Intermediate,Remote,76000,175000,125500,Employer
PMall,4.5,Software Engineer,Fullstack,Intermediate,"Washington, DC",96000,118000,107000,Employer
Alloy,4,Software Engineer,n/a,Intermediate,"Bellevue, WA",86000,129000,107500,Employer
QinetiQ US,3.9,Software Engineer,Frontend,Intermediate,"Burr Ridge, IL",160000,385000,272500,Employer
Caterpillar,4,Software Engineer,n/a,Intermediate,Unknown,184000,337000,260500,Employer
"Jason Pharmaceuticals, Inc.",4,Software Engineer,n/a,Intermediate,"McLean, VA",127000,184000,155500,Employer
IntelliBridge LLC,3.6,Software Engineer,n/a,Intermediate,"Peoria, IL",79000,130000,104500,Glassdoor
Snyk,3.4,Software Engineer,n/a,Senior,"Lehi, UT",120000,207000,163500,Employer
OpenAI,4.2,Software Engineer,n/a,Intermediate,"Washington, DC",112000,152000,132000,Employer
Vertex Professional Service LLC,2.7,Software Engineer,"Go, Typescript",Senior,"Boston, MA",130000,158000,144000,Glassdoor
"deciBel Research, Inc.",2.7,Software Engineer,Backend,Intermediate,"San Francisco, CA",103000,172000,137500,Employer
OpenAI,4.4,Software Engineer,n/a,Intermediate,"Orlando, FL",82000,209000,145500,Employer
COMSOL Inc.,3.1,Software Engineer,n/a,Intermediate,"Huntsville, AL",116000,174000,145000,Employer
Infosys,3.8,Software Engineer,Fullstack,Intermediate,"San Francisco, CA",130000,165000,147500,Employer
Hero Facility Services,3.8,Software Engineer,n/a,Intermediate,"Burlington, MA",150000,185000,167500,Employer
QED Systems LLC,3.9,Software Engineer,Python,Entry,"Charlotte, NC",98000,209000,153500,Employer
Kasasa,4.4,Software Engineer,n/a,Entry,"Melbourne, FL",102000,204000,153000,Employer
"Delta Air Lines, Inc.",3.7,Software Engineer,n/a,Intermediate,"Aberdeen Proving Ground, MD",125000,140000,132500,Employer
HAN IT,3.6,Software Engineer,n/a,Senior,"Austin, TX",108000,216000,162000,Employer
Innovative Solutions and Support,3.9,Software Engineer,n/a,Intermediate,"Atlanta, GA",79000,116000,97500,Glassdoor
Promega,4.8,Software Engineer,Python,Intermediate,"Morris Plains, NJ",67000,128000,97500,Employer
Revenue Management Solutions Llc,3.7,Software Engineer,n/a,Intermediate,"Exton, PA",129000,162000,145500,Employer
Cityblock Health,3.8,Software Engineer,n/a,Intermediate,"Madison, WI",90000,110000,100000,Employer
Astrion,3.7,DevOps Engineer,n/a,Intermediate,"Oklahoma City, OK",117000,306000,211500,Employer
Diverse Career Solutions,3.4,Software Engineer,n/a,Senior,Unknown,100000,115000,107500,Employer
Synergy ECP,4.2,Software Engineer,n/a,Intermediate,"Eglin AFB, FL",87000,142000,114500,Glassdoor
"ICR, Inc.",4,Software Engineer,n/a,Senior,Remote,92000,132000,112000,Glassdoor
Broadridge,3.8,Software Engineer,n/a,Intermediate,"Columbia, MD",105000,160000,132500,Employer
Zurn Elkay Water Solutions,5,System Engineer,n/a,Intermediate,"Mason, OH",144000,196000,170000,Glassdoor
Florida State College at Jacksonville,4.2,DevOps Engineer,n/a,Intermediate,"Newark, NJ",69000,91000,80000,Glassdoor
Q9Software,3.1,Software Engineer,n/a,Intermediate,"Milwaukee, WI",80000,110000,95000,Employer
JPMorgan Chase & Co,3.8,Software Engineer,n/a,Senior,"Jacksonville, FL",100000,153000,126500,Glassdoor
The Bank of New York Mellon Corporation,3.4,Software Engineer,n/a,Senior,"Germantown, MD",170000,200000,185000,Employer
Cisco Systems,4.5,Software Engineer,n/a,Intermediate,"Jersey City, NJ",87000,124000,105500,Glassdoor
Grand Canyon Education,4,Software Engineer,n/a,Intermediate,"Pittsburgh, PA",185000,206000,195500,Employer
Captivation Software,3.3,Software Engineer,n/a,Intermediate,"San Jose, CA",80000,133000,106500,Employer
DocuSign,4.6,Software Engineer,n/a,Entry,"Phoenix, AZ",90000,127000,108500,Glassdoor
"Canon Medical Research USA, Inc.",3.6,Software Engineer,"AWS, Docker, Java, React",Intermediate,"Annapolis Junction, MD",108000,199000,153500,Employer
Standard Bots,2.5,Software Engineer,n/a,Intermediate,"San Francisco, CA",62000,102000,82000,Glassdoor
American AgCredit,4.1,Software Engineer,n/a,Intermediate,"Boston, MA",85000,104000,94500,Glassdoor
KAPSCH,4,QA/Test Engineer,n/a,Intermediate,"Glen Cove, NY",73000,127000,100000,Employer
Prevail,3.9,DevOps Engineer,n/a,Intermediate,Remote,100000,140000,120000,Glassdoor
DCS Corp,4.8,Software Engineer,n/a,Intermediate,"Chantilly, VA",160000,194000,177000,Employer
Consensus Health,3.9,Software Engineer,n/a,Intermediate,"San Francisco, CA",107000,145000,126000,Glassdoor
Rippling,4.2,Software Engineer,n/a,Intermediate,"Dayton, OH",74000,131000,102500,Glassdoor
"Engineering Technology Associates, Inc.",5,Software Engineer,"Frontend, Fullstack",Intermediate,"San Francisco, CA",33280,95680,64480,Employer
Fusion Innovation,5,Software Engineer,n/a,Intermediate,"Norcross, GA",70000,120000,95000,Employer
"Clarity Innovations, LLC",4.1,QA/Test Engineer,n/a,Intermediate,"Dearborn, MI",160000,225000,192500,Employer
RippleMatch Opportunities,3.9,Software Engineer,n/a,Intermediate,"Herndon, VA",99000,134000,116500,Glassdoor
Power3 Solutions and Partnering Companies,3.5,Software Engineer,Java,Entry,"Annapolis Junction, MD",102000,143000,122500,Glassdoor
Datadog,3.9,Software Engineer,n/a,Intermediate,"Chicago, IL",150000,240000,195000,Employer
PACCAR,4.2,Software Engineer,Python,Intermediate,"Annapolis Junction, MD",160000,170000,165000,Employer
Front,4.1,Software Engineer,Frontend,Senior,Unknown,144000,200000,172000,Employer
Northrop Grumman,4.1,QA/Test Engineer,n/a,Intermediate,"Mount Vernon, WA",110000,120000,115000,Employer
Pegasystems,4.1,Software Engineer,Backend,Intermediate,"San Francisco, CA",165000,211000,188000,Employer
Lawrence Berkeley National Laboratory,3.6,Software Engineer,n/a,Entry,"Linthicum, MD",92000,116000,104000,Glassdoor
Zoox,3.9,Software Engineer,n/a,Intermediate,"San Francisco, CA",66000,132000,99000,Employer
GLOBALFOUNDRIES,3.7,Software Engineer,n/a,Entry,"Atlanta, GA",140000,175000,157500,Employer
TRU47,4.8,Software Engineer,n/a,Intermediate,"Boston, MA",169000,225000,197000,Employer
Schneider Electric,4.1,ML/AI Engineer,n/a,Entry,"Malta, NY",61000,95000,78000,Employer
Gopuff,3.2,Software Engineer,n/a,Intermediate,Remote,90000,125000,107500,Employer
Gopuff,3.6,QA/Test Engineer,n/a,Intermediate,"Foxborough, MA",162000,284000,223000,Employer
Camelot Integrated Solutions Inc.,3.9,Software Engineer,n/a,Senior,"Miami, FL",91000,137000,114000,Employer
CVS Health,5,Software Engineer,n/a,Senior,"Miami, FL",160000,175000,167500,Employer
BOEING,4.6,Software Engineer,n/a,Senior,"Houston, TX",177000,323000,250000,Employer
Publix,3.4,Software Engineer,n/a,Intermediate,"Hartford, CT",133000,193000,163000,Employer
Experian,4.9,Software Engineer,n/a,Entry,"Annapolis Junction, MD",81000,99000,90000,Glassdoor
OpenAI,4.3,Software Engineer,n/a,Intermediate,"Lakeland, FL",85000,95000,90000,Employer
ByteDance,3.6,Software Engineer,n/a,Senior,Unknown,180000,339000,259500,Employer
Alterra Mountain Company,4.2,Software Engineer,Fullstack,Intermediate,"San Francisco, CA",163000,200000,181500,Employer
Experian,3.8,Software Engineer,Frontend,Senior,"Seattle, WA",85000,150000,117500,Employer
"Clarity Innovations, LLC",3.4,Software Engineer,"Mobile, React",Intermediate,"Denver, CO",80000,110000,95000,Employer
Amazon Advertising LLC,3.4,Software Engineer,n/a,Senior,Unknown,93000,128000,110500,Glassdoor
BOEING,4.1,Software Engineer,n/a,Entry,"Annapolis Junction, MD",112000,154000,133000,Employer
Bose,4.1,QA/Test Engineer,n/a,Intermediate,Unknown,155000,221000,188000,Employer
Macyï¿½ï,4.1,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",102000,132000,117000,Employer
Microsoft,5,Software Engineer,n/a,Intermediate,"Framingham, MA",80000,111000,95500,Glassdoor
DraftKings,4.1,Software Engineer,n/a,Senior,"Johns Creek, GA",187000,280000,233500,Employer
GE Appliances,4,Software Engineer,n/a,Intermediate,"Redmond, WA",105000,155000,130000,Glassdoor
Quantum Systems Inc,4.1,Software Engineer,iOS,Senior,Remote,92000,120000,106000,Glassdoor
"Kaseware, Inc.",4.1,Software Engineer,n/a,Intermediate,"Louisville, KY",230000,280000,255000,Employer
Microsoft,4.1,Software Engineer,n/a,Intermediate,"Moorpark, CA",94000,128000,111000,Glassdoor
JBT Corporation,4.6,Software Engineer,n/a,Intermediate,"Redmond, WA",80000,180000,130000,Employer
Fanatics Inc.,3.9,Software Engineer,n/a,Senior,"Buffalo Grove, IL",93000,129000,111000,Glassdoor
Innovative Defense Technologies (IDT),4.1,Software Engineer,n/a,Senior,"Chalfont, PA",105000,190000,147500,Employer
Microchip Technology,4,Software Engineer,"AWS, Java",Intermediate,Unknown,139000,169000,154000,Employer
"Crunchyroll, LLC",4.2,Software Engineer,Frontend,Intermediate,"Mount Laurel, NJ",54000,98000,76000,Employer
Accrete.AI,3.7,Software Engineer,n/a,Entry,"San Jose, CA",55000,186000,120500,Employer
Roku,3.8,Software Engineer,Android,Senior,"Culver City, CA",101000,139000,120000,Glassdoor
Early Warning Services,3.6,ML/AI Engineer,n/a,Intermediate,"New York, NY",88000,120000,104000,Glassdoor
Workday,5,Software Engineer,n/a,Senior,"Boston, MA",129000,202000,165500,Employer
Grainger,4.1,Software Engineer,Java,Intermediate,"Scottsdale, AZ",70000,115000,92500,Employer
Costco Wholesale,4.7,Software Engineer,Frontend,Intermediate,"Boulder, CO",91000,134000,112500,Glassdoor
Mochi Health,3.5,Software Engineer,n/a,Senior,"Lake Forest, IL",92000,124000,108000,Glassdoor
Jacobs,4.2,Software Engineer,n/a,Intermediate,"Seattle, WA",115000,190000,152500,Employer
Boeing Intelligence & Analytics,4.2,Software Engineer,Frontend,Senior,"San Francisco, CA",94000,139000,116500,Glassdoor
NetApp,4,QA/Test Engineer,n/a,Intermediate,"Kennedy Space Center, FL",140000,216000,178000,Glassdoor
Alphataraxia,3.9,Software Engineer,n/a,Entry,"Annapolis Junction, MD",90000,103000,96500,Employer
DaqScribe Solutions,4.7,Software Engineer,n/a,Intermediate,"San Jose, CA",95000,170000,132500,Employer
BOEING,4,Software Engineer,n/a,Senior,"Washington, DC",343000,637000,490000,Employer
Honeywell,4.8,Software Engineer,n/a,Intermediate,Unknown,172000,223000,197500,Employer
Uber,3.9,Software Engineer,n/a,Entry,Unknown,218400,239200,228800,Employer
State Street,3.4,Software Engineer,"Azure, C#",Intermediate,"Phoenix, AZ",93000,186000,139500,Employer
"Garmin International, Inc.",3.9,Software Engineer,n/a,Senior,"New York, NY",83000,110000,96500,Glassdoor
Honeywell,5,Firmware Engineer,n/a,Intermediate,"Salem, OR",88000,140000,114000,Employer
Honeywell,4.3,Software Engineer,n/a,Intermediate,"Lehi, UT",95000,136000,115500,Glassdoor
Johns Hopkins University,4.8,Software Engineer,n/a,Intermediate,"Mason, OH",100000,130000,115000,Employer
University of Vermont,4.1,Software Engineer,n/a,Intermediate,"Mason, OH",159000,175000,167000,Employer
Federal Reserve Bank of Dallas,3.5,Software Engineer,n/a,Intermediate,"Baltimore, MD",104000,348000,226000,Employer
"Grammarly, Inc.",4,Software Engineer,n/a,Intermediate,"Burlington, VT",98000,209000,153500,Employer
SCD Information Technology,3.9,Software Engineer,n/a,Intermediate,"Dallas, TX",78000,104000,91000,Employer
"Akina, Inc.",4,Software Engineer,n/a,Senior,"Columbia, MD",64000,128000,96000,Employer
Volvo Group,3.9,Software Engineer,n/a,Entry,"Annapolis Junction, MD",117000,216000,166500,Employer
Calspan Corporation,3.7,Software Engineer,"Go, JavaScript, Python",Senior,"Annapolis Junction, MD",135000,247000,191000,Employer
Zoox,4.2,Software Engineer,Spring,Intermediate,"Shippensburg, PA",83000,136000,109500,Glassdoor
"Garmin International, Inc.",3.8,Software Engineer,n/a,Entry,"Edwards AFB, CA",85000,130000,107500,Glassdoor
"HireIO, Inc.",3.6,Software Engineer,n/a,Senior,"Olathe, KS",73000,88000,80500,Employer
