Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",Software Engineer,n/a,Intermediate,74000,101000,87500,Glassdoor,No,18d
Chewy,3.8,Software Engineer II,"Bellevue, WA",Software Engineer,n/a,Intermediate,74000,111000,92500,Glassdoor,No,2d
ERPA,4.3,Software Test Engineer,"Dublin, OH",QA/Test Engineer,n/a,Intermediate,147000,186000,166500,Employer,No,2d
Afterpay,4.1,"Software Engineer, Incentive","Seattle, WA",Software Engineer,n/a,Intermediate,129000,174000,151500,Glassdoor,No,3d
Harvard University,5,Software Engineer,"Boston, MA",Software Engineer,n/a,Intermediate,89000,125000,107000,Glassdoor,No,30d+
Brooks Automation,3,Software Development Engineer,"Fremont, CA",Software Engineer,n/a,Intermediate,165000,190000,177500,Employer,No,4d
DLRdmv,3.5,Software Engineer,"Dallas, TX",Software Engineer,n/a,Intermediate,110000,160000,135000,Employer,No,2d
Movius Interactive Corporation,3.3,Software Engineer- Frontend,"Fremont, CA",Software Engineer,Frontend,Intermediate,61000,110000,85500,Glassdoor,No,1d
State Street,3.7,Software Engineer,"Burlington, MA",Software Engineer,n/a,Intermediate,94000,154000,124000,Employer,No,3d
"Sonalysts, Inc.",3.8,Junior Software Engineer,"Waterford, CT",Software Engineer,n/a,Entry,75000,115000,95000,Employer,No,1d
"Preco, LLC",3.6,Software Engineer,"Somerset, WI",Software Engineer,n/a,Intermediate,62000,106000,84000,Glassdoor,No,4d
HealthStream,3.6,Software Developer,"Nashville, TN",Software Engineer,n/a,Intermediate,72000,118000,95000,Glassdoor,No,10d
Aptiv plc,4,Software Engineer,"Troy, MI",Software Engineer,n/a,Intermediate,75000,118000,96500,Glassdoor,No,30d+
Zipongo,3.8,Software Engineer - Epic Integrations,Remote,Software Engineer,n/a,Intermediate,98000,137000,117500,Glassdoor,No,30d+
Snowflake,3.7,Software Engineer - Snowpark,"Bellevue, WA",Software Engineer,n/a,Intermediate,113000,150000,131500,Employer,No,2d
Staffed4U,4.2,Software Engineer (Level 0 - Level II),"Annapolis Junction, MD",Software Engineer,n/a,Intermediate,110000,140000,125000,Employer,No,10d
Honeycomb.io,4.2,Midlevel Site Reliability Engineer,Unknown,Software Engineer,SRE,Intermediate,141000,179000,160000,Employer,No,10d
Topaz Labs,3.8,"Software Engineer, Infrastructure","Dallas, TX",DevOps Engineer,n/a,Intermediate,77000,136000,106500,Glassdoor,No,8d
Brown and Caldwell,4.3,Software Engineer,"Atlanta, GA",Software Engineer,n/a,Intermediate,79000,126000,102500,Glassdoor,No,3d
Vertafore,3.7,Software Engineer II,"Melville, NY",Software Engineer,n/a,Intermediate,87000,119000,103000,Glassdoor,No,2d
"Aerodyne Industries, LLC",3.1,Simulation Software Engineer (ADV00095I),"Kennedy Sp Ct, FL",Software Engineer,n/a,Intermediate,72000,94000,83000,Glassdoor,No,1d
KAIROS Inc,3.5,Software Engineer,"Dahlgren, VA",Software Engineer,n/a,Intermediate,6000,7000,6500,Employer,No,16d
Topaz Labs,3.7,Senior Software Engineer - Photo AI,"Dallas, TX",Software Engineer,n/a,Senior,68000,106000,87000,Glassdoor,No,30d+
