Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
The Swift Group,4.1,Software Engineer,"Columbia, MD",Software Engineer,n/a,Intermediate,96000,146000,121000,Employer,No,30d+
ASUS Computer International,4.9,Software Engineer - AI,"Hillsboro, OR",Software Engineer,n/a,Intermediate,96000,137000,116500,Glassdoor,No,30d+
Persistent Systems,4.6,Workday Software Engineer,Unknown,Software Engineer,n/a,Intermediate,141000,239000,190000,Employer,No,9d
Cedar Inc,3.3,Software Engineer II (Communications Platform),"New York, NY",Software Engineer,n/a,Intermediate,108000,140000,124000,Employer,No,20d
Salesforce,3.1,Software Engineering MTS,"San Francisco, CA",Software Engineer,n/a,Intermediate,83200,114400,98800,Employer,Yes,3d
CVS Health,2.4,"Software Developer - C#, .NET","Scottsdale, AZ",Software Engineer,".NET, C#",Intermediate,108000,195000,151500,Employer,No,3d
Nautilus Hyosung America Inc,3.1,Software Engineer,"Irving, TX",Software Engineer,n/a,Intermediate,111000,184000,147500,Employer,No,3d
Blue Origin,4.4,Embedded Flight Software Engineer – New Glenn,"Seattle, WA",Firmware Engineer,n/a,Intermediate,189000,284000,236500,Employer,No,2d
West Bend Insurance Company,4.9,Software Engineer,"West Bend, WI",Software Engineer,n/a,Intermediate,79000,109000,94000,Glassdoor,No,1d
JBT Corporation,4.1,Software Engineer C#,"Chalfont, PA",Software Engineer,C#,Intermediate,94000,129000,111500,Glassdoor,No,15d
Cedar Inc,3.1,Software Engineer III (Payment Workflows),"New York, NY",Software Engineer,n/a,Senior,56000,83000,69500,Glassdoor,No,19d
Allied Business Consulting,3.8,SOFTWARE DEVELOPERS,"Somerset, NJ",Software Engineer,n/a,Intermediate,202000,290000,246000,Employer,No,13d
"Chick-fil-A, Inc.",2.3,Senior Software Engineer - Backend Development,"Atlanta, GA",Software Engineer,Backend,Senior,70000,103000,86500,Glassdoor,No,11d
"US AMR-Jones Lang LaSalle Americas, Inc.",3.8,Software Engineering,"San Francisco, CA",Software Engineer,n/a,Intermediate,86000,121000,103500,Glassdoor,No,2d
Smart IMS,3.8,Software Engineer,"Austin, TX",Software Engineer,n/a,Intermediate,74000,107000,90500,Glassdoor,No,30d+
Clearwater Analytics,4.7,Software Development Engineer,"San Jose, CA",Software Engineer,n/a,Intermediate,81000,113000,97000,Glassdoor,No,30d+
PayPal,3.9,"Software Engineer, Backend","San Jose, CA",Software Engineer,Backend,Intermediate,72000,119000,95500,Glassdoor,No,2d
WALGREENS,4.6,Principal Software Engineer,"Bellevue, WA",Software Engineer,n/a,Senior,90000,125000,107500,Glassdoor,No,1d
The Swift Group,3.7,Software Engineer,"McLean, VA",Software Engineer,n/a,Intermediate,80000,150000,115000,Employer,No,18d
Hewlett Packard,3.5,Software Engineer,"Spring, TX",Software Engineer,n/a,Intermediate,72000,144000,108000,Employer,No,10d
Microsoft,4,Software Engineer,"Redmond, WA",Software Engineer,n/a,Intermediate,70000,95000,82500,Employer,No,5d
New River Systems Corporation,4.4,SharePoint Software Systems Engineer,Remote,System Engineer,n/a,Intermediate,100000,140000,120000,Employer,No,17d
"Modern Technology Solutions, Inc.",4.6,Software Engineer - Associate,"Chantilly, VA",Software Engineer,n/a,Entry,124000,234000,179000,Employer,No,11d
PQSecure Technologies,3.7,Hardware/Software Engineer,"Boca Raton, FL",Firmware Engineer,n/a,Intermediate,88000,119000,103500,Glassdoor,No,30d+
ISPA Technology,4.4,Mid to Senior Level Software Engineer,"San Diego, CA",Software Engineer,n/a,Senior,123000,198000,160500,Employer,No,19d
OnMed,5,Site Reliability Engineer,"Tampa, FL",Software Engineer,SRE,Intermediate,158000,176000,167000,Employer,No,23d
Grote Industries,4.2,Networks - Embedded Software Engineer,"Madison, IN",Firmware Engineer,n/a,Intermediate,160000,180000,170000,Employer,No,3d
WALGREENS,3.9,DevOps Engineer,"Deerfield, IL",DevOps Engineer,n/a,Intermediate,87000,119000,103000,Glassdoor,No,24h
Cloud Software Group,4.5,Software Engineer,"Naperville, IL",Software Engineer,n/a,Intermediate,97000,145000,121000,Employer,No,12d
WALGREENS,4.6,"Senior Software Engineer (Full-Stack, Java, JavaScript)","Bellevue, WA",Software Engineer,"Fullstack, Java, JavaScript",Senior,89000,139000,114000,Glassdoor,No,30d+
NationMind Infoservices Pvt Ltd,3.6,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,53000,103000,78000,Employer,No,16d
Arrowstreet Capital,3.4,Fullstack Software Engineer,"Boston, MA",Software Engineer,Fullstack,Intermediate,129000,228000,178500,Employer,No,30d+
Favorited,4.8,Full Stack Engineer,"Santa Monica, CA",Software Engineer,Fullstack,Intermediate,150000,250000,200000,Employer,No,2d
Strategic Thermal Labs,2.5,Software Engineer,"Georgetown, TX",Software Engineer,n/a,Intermediate,116000,163000,139500,Glassdoor,No,11d
IdolSoft,3.3,SOFTWARE DEVELOPER,"Irving, TX",Software Engineer,n/a,Intermediate,104000,127000,115500,Glassdoor,No,30d+
BI Labs,3.1,SOFTWARE DEVELOPERS (834),"Plainsboro, NJ",Software Engineer,n/a,Intermediate,53000,96000,74500,Employer,No,30d+
Verily,3.5,"Software Engineer, Enterprise Frontend","San Bruno, CA",Software Engineer,Frontend,Intermediate,60000,90000,75000,Employer,No,30d+
Colonial Pipeline Company,4.4,Software Engineer,"Alpharetta, GA",Software Engineer,n/a,Intermediate,143000,191000,167000,Employer,No,30d+
Leader Communications Inc,4.2,Software Engineer,"Hill AFB, UT",Software Engineer,n/a,Intermediate,142000,162000,152000,Employer,No,26d
UCare,3.3,Software Engineer Sr. â€” Net,"Minneapolis, MN",Software Engineer,n/a,Senior,89000,129000,109000,Glassdoor,No,12d
CliftonLarsonAllen,4.8,DevOps Engineer,"Minneapolis, MN",DevOps Engineer,n/a,Intermediate,94000,156000,125000,Employer,No,11d
Two Six Technologies,3.9,Software Engineer Associate Manager - National General,Remote,Software Engineer,n/a,Entry,80000,148000,114000,Glassdoor,No,4d
BAE Systems,3.9,Software Engineer,"Herndon, VA",Software Engineer,n/a,Intermediate,62000,105000,83500,Employer,No,30d+
Nodal Exchange,3.5,Software Engineer (Expert),"Herndon, VA",Software Engineer,n/a,Intermediate,81000,164000,122500,Employer,No,30d+
Gomez & Companies,3.5,Software Engineer (Mid-level),Unknown,Software Engineer,n/a,Intermediate,98000,145000,121500,Glassdoor,No,9d
"T-Mobile USA, Inc.",3.7,Full Stack Software Engineer & API Developer,"Canoga Park, CA",Software Engineer,"API, Fullstack",Intermediate,157000,207000,182000,Employer,No,1d
M&T Bank,3.5,Sr Software Engineer - Data,"Bellevue, WA",Software Engineer,n/a,Senior,133000,143000,138000,Employer,No,3d
Pressco Technology,4.5,"API Services - Senior Software Engineer - Java, Spring Boot","Buffalo, NY",Software Engineer,"API, Java, Spring",Senior,79000,159000,119000,Employer,No,10d
YouTube,3.8,Software Integration & Test Engineer,"Solon, OH",QA/Test Engineer,n/a,Intermediate,132000,190000,161000,Glassdoor,No,3d
ISPA Technology,4.2,"Staff Software Engineer, Machine Learning, YouTube Music","New York, NY",ML/AI Engineer,n/a,Senior,90000,143000,116500,Glassdoor,No,1d
Scentsy Inc,4,Mid-Level Software Systems Engineer,Unknown,System Engineer,n/a,Intermediate,101000,187000,144000,Employer,No,23d
STRATASCORP,3.5,Software Engineer,"Meridian, ID",Software Engineer,n/a,Intermediate,58000,103000,80500,Glassdoor,No,5d
3R Info,3.8,Software Engineer,"Arlington, VA",Software Engineer,n/a,Intermediate,125000,200000,162500,Employer,No,4d
Gelber Group,5,Senior Software Engineer,"Los Altos, CA",Software Engineer,n/a,Senior,110000,143000,126500,Glassdoor,No,9d
"PeopleTec, Inc.",3.5,Software Engineer- Executions Team,"Chicago, IL",Software Engineer,n/a,Intermediate,166400,176800,171600,Employer,Yes,20d
Flysoft,5,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,78000,112000,95000,Glassdoor,No,2d
Ingrain Systems Inc.,3.9,SOFTWARE ENGINEER,"Jamesburg, NJ",Software Engineer,n/a,Intermediate,95000,125000,110000,Glassdoor,No,20d
Carrier,4.7,Software Developers,"Sherman, TX",Software Engineer,n/a,Intermediate,92000,158000,125000,Employer,No,30d+
NCR,4.2,Software Engineer,"Charlotte, NC",Software Engineer,n/a,Intermediate,147000,180000,163500,Employer,No,3d
AnaVation,3.5,Software Engineer IV - Java Fullstack,Unknown,Software Engineer,"Fullstack, Java",Senior,75000,102000,88500,Glassdoor,No,30d+
Soar Technology,3.5,Mid-Level Software Engineer – HYBRID!,"Quantico, VA",Software Engineer,n/a,Intermediate,60000,112000,86000,Employer,No,30d+
Red Ventures,3.1,Autonomy Software Engineer,"Ann Arbor, MI",Software Engineer,n/a,Intermediate,108000,151000,129500,Glassdoor,No,2d
CVS Health,4.1,Software Engineer | The Points Guy,"San Juan, PR",Software Engineer,n/a,Intermediate,123000,196000,159500,Employer,No,2d
"Messenger, LLC",4.4,Software Development ITAM Engineer,"Lansing, MI",Software Engineer,n/a,Intermediate,116000,166000,141000,Glassdoor,No,5d
Nelnet,3.5,Software Developer,"Auburn, IN",Software Engineer,n/a,Intermediate,59000,107000,83000,Glassdoor,No,3d
Slate Magazine,4.8,IT Software Engineer- NBS,"Lincoln, NE",Software Engineer,n/a,Intermediate,104000,163000,133500,Glassdoor,No,24d
Adobe,3.5,Software Engineer,"Washington, DC",Software Engineer,n/a,Intermediate,68000,80000,74000,Employer,No,30d+
Airgas,4.1,Software Engineer,"Lehi, UT",Software Engineer,n/a,Intermediate,83000,107000,95000,Glassdoor,No,12d
Umbra,3.9,Firmware Engineer,"Cheshire, CT",Firmware Engineer,n/a,Intermediate,109000,209000,159000,Employer,No,2d
Uber,3.8,Senior Software Engineer,"Santa Barbara, CA",Software Engineer,n/a,Senior,97000,197000,147000,Employer,No,5d
Collaborative Robotics,3.7,Software Engineer II - Uber Eats,"San Francisco, CA",Software Engineer,n/a,Intermediate,57000,96000,76500,Glassdoor,No,27d
Werfen,3.3,"Software Engineer, Robotics","Santa Clara, CA",Software Engineer,n/a,Intermediate,98000,145000,121500,Glassdoor,No,8d
Snapchat,4.3,"Software Development Engineer in Test, Digital Solutions","Bedford, MA",Software Engineer,n/a,Intermediate,66000,90000,78000,Glassdoor,No,19d
"Canon Medical Research USA, Inc",3.7,"C++ Graphics Engineer, 1+ Years of Experience","New York, NY",Graphics Engineer,n/a,Entry,114400,124800,119600,Employer,Yes,2d
Raytheon,4,Software Engineer,"Cambridge, MA",Software Engineer,n/a,Intermediate,79000,168000,123500,Employer,No,2d
Snapchat,3.8,Junior Software Engineer,"Annapolis Junction, MD",Software Engineer,n/a,Entry,102000,174000,138000,Employer,No,6d
Hudson River Trading,3.9,"Software Engineer, C++, 3+ Years of Experience","Los Angeles, CA",Software Engineer,n/a,Senior,73000,108000,90500,Glassdoor,No,4d
Whisker,4.3,Systems Software Engineer,"New York, NY",Software Engineer,n/a,Intermediate,110000,190000,150000,Employer,No,30d+
Mastercard,3.1,Senior Software Engineer,"Auburn Hills, MI",Software Engineer,n/a,Senior,94000,137000,115500,Glassdoor,No,30d+
Savannah River Mission Completion,3.6,SoftWare Engineer II,"O Fallon, MO",Software Engineer,n/a,Intermediate,89000,113000,101000,Glassdoor,No,8d
Mill-Max,3.8,Associate Software Developer,"Aiken, SC",Software Engineer,n/a,Entry,80000,100000,90000,Employer,No,9d
Disney Entertainment & ESPN Technology,3.8,SOFTWARE ENGINEER TRAINEE,"Oyster Bay, NY",Software Engineer,n/a,Entry,128000,179000,153500,Glassdoor,No,24d
Coca-Cola,4.2,Sr Software Engineer,"Seattle, WA",Software Engineer,n/a,Senior,74000,125000,99500,Glassdoor,No,1d
Kaleido,4.1,Staff Software Engineer,"Atlanta, GA",Software Engineer,n/a,Senior,90000,187000,138500,Employer,No,4d
M&T Bank,3.7,Full Stack Engineer,"Raleigh, NC",Software Engineer,Fullstack,Intermediate,143000,256000,199500,Employer,No,5d
Lufburrow & Co,3.4,"Software Engineer - API, Java, Spring Boot","Buffalo, NY",Software Engineer,"API, Java, Spring",Intermediate,114000,145000,129500,Glassdoor,No,30d+
Boost Tech,4.1,Software Engineer - Hybrid,"Havre de Grace, MD",Software Engineer,n/a,Intermediate,101000,155000,128000,Glassdoor,No,30d+
BAE Systems,3.9,Senior Software Engineer (CRM),Remote,Software Engineer,n/a,Senior,84000,128000,106000,Glassdoor,No,2d
Numerica Corporation,4.7,Mobile Engineer,Unknown,Software Engineer,Mobile,Intermediate,71000,104000,87500,Glassdoor,No,2d
Veracity Engineering,4.6,Software Engineer (multiple openings),"Fort Collins, CO",Software Engineer,n/a,Intermediate,99000,137000,118000,Glassdoor,No,18d
M&T Bank,4.1,"Software Engineer II, C++ Backend","Palo Alto, CA",Software Engineer,Backend,Intermediate,141000,211000,176000,Employer,No,5d
CVS Health,4.2,Software Engineer II,"Wilmington, DE",Software Engineer,n/a,Intermediate,76000,128000,102000,Employer,No,30d+
Microsoft,4.1,Junior Software Developer (Java & Azure Cloud),"Woonsocket, RI",Software Engineer,"Azure, Java",Entry,93000,129000,111000,Glassdoor,No,2d
Northwest Talent Solutions LLC,3.6,Software Engineer 2,Unknown,Software Engineer,n/a,Intermediate,93000,131000,112000,Glassdoor,No,2d
Honda Research Institute USA,4.2,Senior Software Engineer,"Boston, MA",Software Engineer,n/a,Senior,86000,145000,115500,Glassdoor,No,30d+
Activision,4,Software Engineer for Mobile Robots,"San Jose, CA",Software Engineer,Mobile,Intermediate,67000,112000,89500,Glassdoor,No,13d
thatgamecompany,3.6,Senior Software Engineer,"Santa Monica, CA",Software Engineer,n/a,Senior,116000,150000,133000,Employer,No,9d
BNY Mellon,4,Build Engineer,Unknown,DevOps Engineer,Build/Release,Intermediate,85000,115000,100000,Employer,No,4d
Recruiting From Scratch,3.6,"Vice President, Back-End Engineer I","Lake Mary, FL",Software Engineer,Backend,Entry,90000,115000,102500,Glassdoor,No,2d
"Akina, Inc.",3.9,Founding Software Engineer,"San Francisco, CA",Software Engineer,n/a,Intermediate,92000,156000,124000,Employer,No,3d
Vonnen,4.8,Software Engineer - 1 (Kubernetes/Python),"Annapolis Junction, MD",Software Engineer,"Kubernetes, Python",Entry,150000,200000,175000,Employer,No,18d
Capgemini,4.5,Software Engineer,"Santa Clara, CA",Software Engineer,n/a,Intermediate,95000,147000,121000,Glassdoor,No,9d
"Stefanini, Inc",3.6,Software Engineer - Redis,"Irving, TX",Software Engineer,Redis,Intermediate,102000,148000,125000,Glassdoor,No,2d
Infosys,4.7,Software Engineer,"Dearborn, MI",Software Engineer,n/a,Intermediate,83200,124800,104000,Employer,Yes,25d
"Link, LLC",4.9,Release Engineer,"Chicago, IL",DevOps Engineer,Build/Release,Intermediate,86000,109000,97500,Glassdoor,No,9d
Autodesk,3.9,"Golang Software Engineer (VISTA BIGHITTER), BS+7, Telework","Annapolis Junction, MD",Software Engineer,Golang,Intermediate,87000,125000,106000,Glassdoor,No,11d
BCT LLC,3.9,"Software Development Engineer, Platform Services",Unknown,Software Engineer,n/a,Intermediate,156000,166400,161200,Employer,Yes,6d
JPMorgan Chase & Co,4.8,Software Engineer (ID),Unknown,Software Engineer,n/a,Intermediate,142000,183000,162500,Employer,No,4d
WR Systems,4.2,Software Engineer,"Jersey City, NJ",Software Engineer,n/a,Intermediate,77000,125000,101000,Glassdoor,No,2d
Acuity Brands,3.5,Software Engineer,"Dahlgren, VA",Software Engineer,n/a,Intermediate,162000,244000,203000,Employer,No,3d
Cisco Systems,4.1,Software Engineer,"Conyers, GA",Software Engineer,n/a,Intermediate,85000,104000,94500,Glassdoor,No,3d
WALGREENS,3.3,Software QA Engineer,"San Jose, CA",QA/Test Engineer,n/a,Intermediate,140000,145000,142500,Employer,No,12d
"Vivint, Inc.",3.8,Senior Software Engineer,"Deerfield, IL",Software Engineer,n/a,Senior,95000,130000,112500,Glassdoor,No,2d
Caelum Research Corporation,4.1,Sr. Software Engineer,"Lehi, UT",Software Engineer,n/a,Senior,90000,150000,120000,Employer,No,4d
Oracle,4.5,Software Engineer,"Carlisle, PA",Software Engineer,n/a,Intermediate,140000,150000,145000,Employer,No,22d
Fidelity Investments,3.8,Software Developer,"Redwood City, CA",Software Engineer,n/a,Intermediate,183000,297000,240000,Employer,No,24h
Colorado State University,4.5,Cloud Engineer,"Westlake, TX",Cloud Engineer,n/a,Intermediate,120000,140000,130000,Employer,No,9d
Bayer,2.3,Application Programmer Analyst/Developer I,"Fort Collins, CO",Software Engineer,n/a,Entry,97000,129000,113000,Glassdoor,No,5d
USAA,3.9,Software Engineer II,"Indianola, PA",Software Engineer,n/a,Intermediate,50000,90000,70000,Employer,No,12d
Accenture Federal Services,3.1,Senior React/Javascript Software Engineer,"San Antonio, TX",Software Engineer,"Javascript, React",Senior,74000,122000,98000,Employer,No,1d
Gundersen Health System,5,Software Engineer,"Lorton, VA",Software Engineer,n/a,Intermediate,85000,150000,117500,Employer,No,13d
"JRC Integrated Systems, LLC",3.9,Software Engineer | Front End Developer,"Onalaska, WI",Software Engineer,n/a,Intermediate,82000,114000,98000,Glassdoor,No,30d+
XL Softek,3.9,Software Engineer,"Washington, DC",Software Engineer,n/a,Intermediate,107000,150000,128500,Employer,No,11d
kasmo cloud solutions,4,Software Engineers,"Suwanee, GA",Software Engineer,n/a,Intermediate,215000,220000,217500,Employer,No,30d+
"ICR, Inc.",4.2,Software Engineer,"Carol Stream, IL",Software Engineer,n/a,Intermediate,90000,180000,135000,Employer,No,5d
Workday,4,"Software Engineer - Front End (Dashboard) - Aurora, CO","Aurora, CO",Software Engineer,n/a,Intermediate,130000,160000,145000,Employer,No,30d+
360care,3,"Sr Associate Software Engineer, Database as a Service","Atlanta, GA",Software Engineer,n/a,Senior,75000,126000,100500,Glassdoor,No,5d
Amex,3.5,Software Engineer,"Louisville, KY",Software Engineer,n/a,Intermediate,79000,119000,99000,Glassdoor,No,30d+
DKW Communications,3.5,Senior Engineer - Java - GO2 Unify,"Sunrise, FL",Software Engineer,Java,Senior,125000,150000,137500,Employer,No,30d+
"SICK, Inc.",4.1,Senior Software Engineer,"Point Mugu NAWC, CA",Software Engineer,n/a,Senior,77000,102000,89500,Glassdoor,No,4d
Antithesis,3.2,Software Engineer II,"Minneapolis, MN",Software Engineer,n/a,Intermediate,102000,138000,120000,Glassdoor,No,3d
Rekuten Global,3.9,Junior Ruby on Rails Engineer,Remote,Software Engineer,"Rails, Ruby",Entry,115000,155000,135000,Glassdoor,No,3d
Tencent,4,Senior Software Engineer,"Vienna, VA",Software Engineer,n/a,Senior,84000,132000,108000,Glassdoor,No,2d
Zoox,4.1,Security Software Engineer I,"Palo Alto, CA",Security Engineer,n/a,Entry,80000,108000,94000,Glassdoor,No,6d
CyberCore Technologies,4.3,Software Engineer 1,Unknown,Software Engineer,n/a,Entry,148000,230000,189000,Employer,No,30d+
Synergy ECP,4.1,"Software Engineer, Workflow Orchestration","Foster City, CA",Software Engineer,n/a,Intermediate,81000,101000,91000,Glassdoor,No,30d+
Innovative Defense Technologies (IDT),3.9,Software Engineer 3,"Annapolis Junction, MD",Software Engineer,n/a,Senior,65000,112000,88500,Glassdoor,No,19d
VETERANS ENGINEERING INCORPORATED,4.1,Backend Python Software Engineer,"Annapolis Junction, MD",Software Engineer,"Backend, Python",Intermediate,88000,117000,102500,Glassdoor,No,30d+
Solvere Technical Group,3.6,Software Engineer,"Fall River, MA",Software Engineer,n/a,Intermediate,10000,20000,15000,Employer,No,30d+
"IRALOGIX,Inc",3.9,Cloud Engineer,Unknown,Cloud Engineer,n/a,Intermediate,111000,153000,132000,Glassdoor,No,10d
Nava,3.8,Software Engineer,"Indian Head, MD",Software Engineer,n/a,Intermediate,91000,126000,108500,Glassdoor,No,2d
f5,3.6,Senior Software Engineer,"Pittsburgh, PA",Software Engineer,n/a,Senior,125000,140000,132500,Employer,No,4d
BAE Systems,4.5,Sr. Software Engineer,Remote,Software Engineer,n/a,Senior,66000,116000,91000,Glassdoor,No,2d
Synergy ECP,3.4,Software Engineer III,"San Jose, CA",Software Engineer,n/a,Senior,108000,146000,127000,Glassdoor,No,19d
GE HEALTHCARE,4,"Engineer, Junior Software","Lexington Park, MD",Software Engineer,n/a,Entry,90000,130000,110000,Employer,No,30d+
TC Energy,2.4,Software Engineer,"Annapolis Junction, MD",Software Engineer,n/a,Intermediate,80000,90000,85000,Employer,No,30d+
Principal Financial Group,4.3,"Senior Software Engineer (Hybrid, Onsite)","Milwaukee, WI",Software Engineer,n/a,Senior,86000,119000,102500,Glassdoor,No,3d
Schlumberger,3.4,New Engineer-in-Training (NET) Rotational Program,"Houston, TX",Software Engineer,n/a,Intermediate,120000,250000,185000,Employer,No,6d
IXL Learning,3.8,"Sr Software Engineer, Snowflake focus",Unknown,Software Engineer,n/a,Senior,54000,83000,68500,Employer,No,2d
JBT Corporation,4.6,Back End Software Engineer,"Houston, TX",Software Engineer,n/a,Intermediate,55000,90000,72500,Employer,No,9d
FLASH Technology Group,4.2,Software Engineer,"San Mateo, CA",Software Engineer,n/a,Intermediate,84000,157000,120500,Employer,No,30d+
Innovative Defense Technologies (IDT),3.7,DevOps Engineer,"Chalfont, PA",DevOps Engineer,n/a,Intermediate,96000,128000,112000,Glassdoor,No,30d+
Fairfax County Public Schools,4.2,Software Engineer I,"Laurel, MD",Software Engineer,n/a,Entry,106000,125000,115500,Employer,No,30d+
Scholarly,4.5,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,81000,123000,102000,Glassdoor,No,5d
Innovative Defense Technologies (IDT),3,Software Engineer (One Year Only),"Wilton Woods, VA",Software Engineer,n/a,Intermediate,92000,131000,111500,Glassdoor,No,30d+
Burst Inc.,2,Software Engineer,"Seattle, WA",Software Engineer,n/a,Intermediate,115000,166000,140500,Glassdoor,No,9d
USN Technical Associates,3.9,DevSecOps Software Engineer,"Fall River, MA",Security Engineer,n/a,Intermediate,113000,161000,137000,Glassdoor,No,5d
SNC,2.8,Video Software Engineer,"Lexington, MA",Software Engineer,n/a,Intermediate,160000,385000,272500,Employer,No,11d
Decision Six,4.1,Contract Software Engineer,"Los Angeles, CA",Software Engineer,n/a,Intermediate,62000,102000,82000,Glassdoor,No,5d
Laiba Technologies,4.4,Software Engineer II,"Southern Pines, NC",Software Engineer,n/a,Intermediate,73000,110000,91500,Glassdoor,No,1d
Teamups,4.4,DevOps Engineer,"Newtown Square, PA",DevOps Engineer,n/a,Intermediate,200000,370000,285000,Employer,No,5d
Delta Dental Ins.,4,DO178C Software Engineer,"Everett, WA",Software Engineer,n/a,Intermediate,93000,147000,120000,Glassdoor,No,30d+
Valkyrie Enterprises,4.1,Senior Software Engineer,"Seattle, WA",Software Engineer,n/a,Senior,69000,107000,88000,Glassdoor,No,30d+
UiPath,3.7,Expert Software Engineer,"Alpharetta, GA",Software Engineer,n/a,Intermediate,50000,60000,55000,Employer,No,1d
Atlas Copco Tools & Assembly Systems LLC,3.7,Software Engineer (Job ID:3425),"Huntsville, AL",Software Engineer,n/a,Intermediate,70000,108000,89000,Glassdoor,No,27d
ANB Sourcing LLC,3.8,Senior Software Engineer,"Bellevue, WA",Software Engineer,n/a,Senior,102000,134000,118000,Glassdoor,No,9d
McIntire Solutions,4.5,Software Engineer,"Auburn Hills, MI",Software Engineer,n/a,Intermediate,103000,133000,118000,Glassdoor,No,13d
Literati,3.7,Software Systems Engineer/DevOps Engineer,"Chantilly, VA",DevOps Engineer,n/a,Intermediate,84000,110000,97000,Glassdoor,No,18d
"Rochester Software Associates, Inc.",4.1,Clojure Software Engineer,"Agoura Hills, CA",Software Engineer,n/a,Intermediate,66000,94000,80000,Glassdoor,No,4d
Plaid,3.7,WordPress Full Stack Engineer (React),Unknown,Software Engineer,"Fullstack, React",Intermediate,102000,149000,125500,Glassdoor,No,1d
TigerGraph,3.9,C# Software Developer,Unknown,Software Engineer,C#,Intermediate,187000,197000,192000,Employer,No,10d
"Garmin International, Inc.",3.7,Experienced Software Engineer - Scaled Access,"New York, NY",Software Engineer,n/a,Intermediate,70000,96000,83000,Glassdoor,No,30d+
Resilio Inc.,4.4,Software Engineer,"Redwood City, CA",Software Engineer,n/a,Intermediate,100000,110000,105000,Employer,No,5d
Candid,3.7,Software Certification Engineer 1 - Software Quality,"Salem, OR",QA/Test Engineer,n/a,Entry,83000,116000,99500,Glassdoor,No,25d
Amex,4.3,Technical Support Engineer (Endpoint Software),Unknown,Software Engineer,n/a,Intermediate,100000,250000,175000,Employer,No,9d
Radiance Technologies,4.4,Ecosystems Software Engineer,Unknown,Software Engineer,n/a,Intermediate,100000,115000,107500,Employer,No,17d
Fabletics,3.6,Engineer,"Phoenix, AZ",Software Engineer,n/a,Intermediate,64000,101000,82500,Glassdoor,No,2d
Delta Dental Ins.,3.7,R&D Software Engineer,"Stennis Space Center, MS",Software Engineer,R,Intermediate,66000,68000,67000,Employer,No,30d+
Fractal Analytics,4.1,Sr. Software Engineer,Unknown,Software Engineer,n/a,Senior,79000,117000,98000,Glassdoor,No,24d
York Space Systems,4.2,Software Development Engineer,Unknown,Software Engineer,n/a,Intermediate,118000,169000,143500,Glassdoor,No,30d+
Proteus Co.,3.5,Engineer II - Software,Unknown,Software Engineer,n/a,Intermediate,56000,89000,72500,Glassdoor,No,2d
Software Productivity Strategists,3.3,Sr. Full Stack Software Engineer,"Greenwood Village, CO",Software Engineer,Fullstack,Senior,130000,270000,200000,Employer,No,3d
NeuroPace,4.2,Software Engineer,"Lincoln, NE",Software Engineer,n/a,Intermediate,110000,157000,133500,Employer,No,30d+
OceanFrogs,2.5,Software Engineer,"Rockville, MD",Software Engineer,n/a,Intermediate,93000,130000,111500,Glassdoor,No,30d+
"iconectiv, LLC.",3.5,Full Stack Software Engineer,"Mountain View, CA",Software Engineer,Fullstack,Intermediate,120000,140000,130000,Employer,No,7d
The Aerospace Corporation,3.9,Full Stack Software Developer,"Duluth, GA",Software Engineer,Fullstack,Intermediate,94000,160000,127000,Employer,No,30d+
Fetch Package,4.8,Software Engineer (Oracle Database Expertise),"Bridgewater, NJ",Software Engineer,Oracle,Intermediate,101000,144000,122500,Glassdoor,No,4d
Zenith Services,4.7,Data Engineer / Software Engineer,"Chantilly, VA",Data Engineer,n/a,Intermediate,108000,156000,132000,Glassdoor,No,30d+
Matthews International Corporation,3.9,Lead Front-End Software Engineer,"Austin, TX",Software Engineer,Frontend,Senior,74000,100000,87000,Glassdoor,No,4d
Oracle,2.9,React Native Engineer,"Bentonville, AR",Software Engineer,React,Intermediate,73000,100000,86500,Glassdoor,No,30d+
NVIDIA,4,Software Engineer,"Apopka, FL",Software Engineer,n/a,Intermediate,112000,196000,154000,Employer,No,3d
PingWind,4,Software Developer,Unknown,Software Engineer,n/a,Intermediate,98000,137000,117500,Glassdoor,No,1d
Versaterm,3.5,Senior Full-Stack Web Applications Software Engineer,"Santa Clara, CA",Software Engineer,Fullstack,Senior,80000,94000,87000,Employer,No,1d
Apollo Technology Solutions LLC,4.3,Software Developer*,"Scott Air Force Base, IL",Software Engineer,n/a,Intermediate,89000,130000,109500,Glassdoor,No,9d
Navrit Creation,3.6,Software Engineer,"Lexington, SC",Software Engineer,n/a,Intermediate,78000,131000,104500,Glassdoor,No,16d
Amazon.com Services LLC,5,Sr. Front End Engineer (React),"Charlotte, NC",Software Engineer,React,Senior,65000,107000,86000,Glassdoor,No,2d
Schneider Electric,3.6,Freelance Web Developer,"Colony, AL",Software Engineer,n/a,Intermediate,130000,300000,215000,Employer,No,1d
Akira Technologies Inc.,3.7,"Software Dev Engineer, Modeling Software","Boston, MA",Software Engineer,n/a,Intermediate,66000,98000,82000,Employer,No,10d
